feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,feature 17,feature 18,feature 19,feature 20,feature 21,feature 22,feature 23,feature 24,feature 25,feature 26,feature 27,feature 28,feature 29,feature 30,feature 31,feature 32,feature 33,feature 34,feature 35,feature 36,feature 37,feature 38,feature 39,feature 40,feature 41,feature 42,feature 43,feature 44,feature 45,feature 46,feature 47,feature 48,y
2188.0,6424.784427150703,6597.168216530034,6714.505168749351,6400.483621512621,6320.406144611402,6363.782810528636,6140.942016065915,5839.945771041666,5546.656918804572,5561.047560931268,5772.081017155316,5784.871323600789,5765.095614856656,6202.3835428216535,6597.84091499414,6492.829614548832,6510.14094350766,6729.769035247753,10034.47265625,10206.73828125,10185.205078125,10012.939453125,9926.806640625,10034.47265625,10077.5390625,9991.40625,9711.474609375,10249.8046875,10572.802734375,10723.53515625,11347.998046875,12015.52734375,12489.2578125,12252.392578125,12037.060546875,12403.125,-204.34178161621094,55.56203079223633,-34.572509765625,61.1805419921875,-21.65512466430664,30.027183532714844,-17.141735076904297,12.979480743408203,-7.692641258239746,4.9997100830078125,-5.277909755706787,6.119536399841309,hihat
3898.0,11079.68398899694,11131.399818578171,10908.978081847978,10467.89799481323,10402.46068539348,10385.013744511447,10880.563860851962,10995.270497961672,11380.558426308246,11193.32634554647,10880.216806031964,10961.927154468323,10772.782605389324,10995.041019680979,10751.484539480663,10960.661752536049,11050.646785602974,10969.32047323592,17205.029296875,17226.5625,16989.697265625,16515.966796875,16645.166015625,16731.298828125,17183.49609375,17205.029296875,17355.76171875,17205.029296875,17140.4296875,17205.029296875,17054.296875,17226.5625,16946.630859375,17011.23046875,16946.630859375,16860.498046875,-79.16515350341797,-58.09865951538086,-17.26560401916504,-4.735745429992676,-27.46965789794922,-11.905716896057129,-21.20289421081543,-17.96450424194336,-28.439077377319336,-4.441298961639404,4.025027751922607,11.223362922668457,hihat
2706.0,9980.282023269687,10564.032807664433,10715.454759630748,10842.260833186916,10975.621073949595,11016.340999962777,10577.235522487808,9965.542364368384,9341.208043232047,8655.286062517864,7973.396914650731,7553.962801262922,7195.023572800513,7246.050130248013,7326.86724487731,7393.407358052489,7133.8117198927175,7245.086454680984,14664.111328125,14599.51171875,14685.64453125,14879.443359375,14857.91015625,14814.84375,14793.310546875,14728.7109375,14793.310546875,14793.310546875,14621.044921875,14534.912109375,14513.37890625,15546.97265625,15805.37109375,15762.3046875,15417.7734375,15568.505859375,-293.3946533203125,25.215078353881836,14.586615562438965,10.147740364074707,-8.604207038879395,19.710594177246094,-6.963791370391846,6.475217819213867,-14.53902530670166,1.7222551107406616,-11.933757781982422,-2.6707231998443604,hihat
1809.0,6394.473527527244,6183.383122314939,5961.184759712601,5645.7974671216225,5707.905355255116,5750.693822681887,5676.218000817207,5217.521880114939,5334.991212047818,5524.9172828465225,5597.235351270858,5166.739975046123,4867.068646216394,4766.169812090224,4645.587380942697,4470.493327905616,4499.652475362059,4558.804206688164,9259.27734375,8893.212890625,8591.748046875,8419.482421875,8677.880859375,8742.48046875,8656.34765625,7816.552734375,8182.6171875,8548.681640625,8850.146484375,7816.552734375,7170.556640625,6761.42578125,6567.626953125,6330.76171875,6201.5625,6309.228515625,-357.7598876953125,15.896937370300293,-95.7814712524414,62.90793228149414,-5.462808609008789,-5.740851402282715,-3.935603618621826,-3.3214142322540283,-8.29608154296875,-13.558979034423828,-5.1514058113098145,2.351243495941162,hihat
2794.0,8216.329788743573,8269.758897427493,8139.701079834722,8125.659620357463,8152.216304378022,8076.980497717819,8029.288544667186,7998.977327203142,8022.213461406889,8048.266198662418,8046.588434608097,8107.922528652772,8065.381032797099,8042.558840731772,8069.931305502381,8030.882022200608,8040.90534017622,8216.164685532996,11154.19921875,11154.19921875,11111.1328125,11154.19921875,11068.06640625,10917.333984375,10809.66796875,10745.068359375,10938.8671875,10874.267578125,10917.333984375,10981.93359375,10960.400390625,10960.400390625,11089.599609375,10981.93359375,11003.466796875,11283.3984375,-186.70375061035156,-96.70687866210938,-45.376365661621094,86.33100128173828,-45.12309646606445,30.44698715209961,-2.1107330322265625,0.9512670040130615,-1.8655744791030884,10.060898780822754,-0.3031081557273865,5.088657379150391,hihat
3404.0,8925.771007761346,9026.30431964731,9003.473747482582,9062.83276787191,9280.690172168968,9369.670526328515,9395.677172771562,9372.06969776561,9027.946891156069,9010.537641035377,9199.652090578631,9123.601187944829,8993.845863409497,9125.622648995193,8883.465751706079,8798.878884330465,8668.561450458896,8587.508663726523,15202.44140625,15159.375,14965.576171875,15051.708984375,15417.7734375,15137.841796875,14922.509765625,14814.84375,14427.24609375,14427.24609375,14513.37890625,14534.912109375,14405.712890625,14513.37890625,14147.314453125,14125.78125,14061.181640625,14039.6484375,-186.10772705078125,-61.56404113769531,-57.81963348388672,4.683109760284424,-39.48489761352539,-7.89672327041626,-31.020179748535156,-14.767772674560547,-30.347373962402344,-3.0233755111694336,-19.55788230895996,-2.0536441802978516,hihat
3433.0,10246.737714864441,10514.097554669368,10899.149217199654,11047.987894016005,10718.385826970174,10582.67796245006,10203.157228274333,9810.786363504929,9387.667568881077,9092.772618088471,8984.522114881776,8848.816867244597,8624.345332127969,8335.26143316827,8055.359010860386,7744.802732704363,7486.117488408275,7379.4651367880215,16472.900390625,16795.8984375,17140.4296875,16903.564453125,16515.966796875,16365.234375,15697.705078125,14944.04296875,14728.7109375,14298.046875,14362.646484375,14233.447265625,13867.3828125,13458.251953125,12919.921875,12037.060546875,11563.330078125,11046.533203125,-286.5557861328125,-73.6707763671875,-45.13025665283203,13.032327651977539,-38.65473937988281,-7.772037029266357,-12.101109504699707,-4.762380123138428,-12.316386222839355,-8.969752311706543,-11.661836624145508,-5.958136081695557,hihat
2919.0,7857.1468229542925,8039.808383240178,8415.765952726726,8729.044012849094,8758.180763758068,8635.877380745704,8555.870900848473,8279.146332180848,7926.329809923874,7697.988442290396,7384.41374803737,7096.7314541028645,7039.173442257057,6929.641205725398,6870.477091260522,6874.6491066376675,6886.652454468942,6940.418037365318,11972.4609375,12403.125,12704.58984375,12833.7890625,12790.72265625,12446.19140625,12058.59375,11714.0625,11089.599609375,10702.001953125,10379.00390625,10077.5390625,9776.07421875,9733.0078125,9733.0078125,9926.806640625,9948.33984375,10206.73828125,-285.1408996582031,-53.09778594970703,-67.759521484375,27.07887077331543,-78.97215270996094,-22.205726623535156,-30.696645736694336,-15.94713306427002,-18.306629180908203,-7.079141616821289,2.1272058486938477,-0.18138647079467773,hihat
3024.0,9159.303721931781,8728.332161174934,8581.008702717627,8302.438343509213,8171.817749926271,8281.044415485389,8234.6429697588,7961.142013241906,8009.387053704194,7966.425135866731,7737.352971317951,7169.350236116905,6570.68733289436,6249.064161660928,6216.487525538778,6272.5358342190275,6354.683531687007,6510.082610501157,12467.724609375,12446.19140625,12446.19140625,12338.525390625,12252.392578125,12123.193359375,12015.52734375,11950.927734375,11929.39453125,11757.12890625,11649.462890625,11175.732421875,10594.3359375,10292.87109375,10120.60546875,10185.205078125,10314.404296875,10400.537109375,-230.6947479248047,-21.742218017578125,-77.34261322021484,18.692956924438477,-51.88713073730469,1.4893240928649902,-39.47630310058594,-2.855597496032715,-24.144094467163086,-17.955400466918945,-10.169351577758789,-17.52568817138672,hihat
3076.0,8736.482173023604,8431.448988266171,8284.117760531872,8738.11836172733,8728.061354177951,8703.037847271147,8651.307151372066,8644.489388490441,8707.188025442369,8720.828425941234,8793.426031144762,8702.027656350234,8726.960805716719,8725.737077339456,8652.623532648082,8632.467898973058,8655.080105030462,8679.081306288732,11778.662109375,11778.662109375,11886.328125,12080.126953125,11800.1953125,11757.12890625,11606.396484375,11821.728515625,11800.1953125,11843.26171875,12037.060546875,11950.927734375,11993.994140625,12080.126953125,11950.927734375,11950.927734375,12037.060546875,12101.66015625,-118.54851531982422,-65.95046997070312,-23.554624557495117,62.66867446899414,-53.35390090942383,29.89975929260254,-18.196128845214844,-6.079448223114014,-9.586435317993164,-0.007293475791811943,-16.219446182250977,-1.8300209045410156,hihat
2142.0,7532.510487562853,7662.51299627184,7728.601219090959,7411.916637909106,7520.62319088728,7566.636428477701,7119.192728905743,7035.284401551069,6837.099583153377,6621.813031897458,6373.046359483088,6160.482640487904,5977.943090146422,5828.01817013312,5580.528729934583,5511.070896684483,5542.509986741581,5582.562389362771,12295.458984375,12489.2578125,12683.056640625,11864.794921875,12230.859375,12338.525390625,10852.734375,10874.267578125,10443.603515625,9625.341796875,9022.412109375,8397.94921875,8096.484375,7859.619140625,7687.353515625,7601.220703125,7773.486328125,7902.685546875,-342.3102722167969,-28.987884521484375,-86.45846557617188,38.022884368896484,-25.210660934448242,-13.597153663635254,-0.884571373462677,-12.600605964660645,-12.980833053588867,-9.08984375,-11.073383331298828,5.639065265655518,hihat
2165.0,6749.93973402079,7047.137379401585,7371.889067382128,7409.226202200697,7350.960460534919,7276.862535791354,7348.193957169144,7183.915930454959,6900.898556516497,6745.56217599621,6542.70709667109,6505.916083269506,6609.132454853903,6735.255851298547,6611.06386242405,6516.644766460546,7040.793762826619,0.0,10443.603515625,10831.201171875,10960.400390625,11197.265625,11003.466796875,10874.267578125,10895.80078125,10594.3359375,10422.0703125,10508.203125,10228.271484375,10206.73828125,10465.13671875,10960.400390625,10766.6015625,10745.068359375,11132.666015625,0.0,-354.0039236004252,4.425986793282003,-34.113114748123294,60.42126551623648,-20.802671733773618,6.604568151780295,-6.97355560661667,13.228506570854872,-0.3034506439255382,9.449258537803066,-3.94996931844537,6.226673834663619,hihat
2328.0,6886.908129635736,6829.338089144378,6863.792399042028,6909.198353759388,6809.281740488217,6751.08299886611,6720.029502422517,6705.848115470854,6614.4062291072905,6558.253168410365,6509.192469021187,6387.74686536313,6451.092464443231,6335.399308574875,6007.158825040355,5925.199689057976,5933.086605087119,5554.555912125874,10357.470703125,10400.537109375,10379.00390625,10594.3359375,10572.802734375,10422.0703125,10443.603515625,10335.9375,10379.00390625,10508.203125,10551.26953125,10529.736328125,10335.9375,10206.73828125,9840.673828125,10034.47265625,9840.673828125,8699.4140625,-276.6188049316406,5.961286544799805,-122.16886138916016,59.2144775390625,-60.56838607788086,16.186965942382812,-40.35012435913086,-7.219389915466309,-21.516277313232422,-24.7598934173584,-2.457812547683716,-25.71846580505371,hihat
